locus tag	gene name	start	end	gene length	amino acid length	strand
SL1344_4121	SL1344_4121	4428082	4428516	435	144	-1
SL1344_4224	phnO	4550310	4550744	435	144	-1
SL1344_P1_0038	psiB	36102	36536	435	144	-1
SL1344_P1_0043	SL1344_P1_0043	40717	41151	435	144	-1
SL1344_P1_0044	SL1344_P1_0044	41218	41652	435	144	-1
SL1344_P2_0029	yceB	19725	20159	435	144	1
SL1344_P2_0037	psiB	26140	26574	435	144	1
SL1344_P2_0042	ydfA	29575	30009	435	144	1
SL1344_0144	pilA	167718	168155	438	145	-1
SL1344_0532	SL1344_0532	600873	601310	438	145	-1
SL1344_1546	SL1344_1546	1662323	1662760	438	145	1
SL1344_1549	aac	1664211	1664648	438	145	1
SL1344_3974	yihZ	4259649	4260086	438	145	1
SL1344_4116	yjaB	4421536	4421973	438	145	-1
SL1344_4485	holD	4832852	4833289	438	145	1
SL1344_P2_0094	pilM	80235	80672	438	145	-1
SL1344_0032	SL1344_0032	34376	34816	441	146	-1
SL1344_0179	yadI	209289	209729	441	146	1
SL1344_1039	hpaR	1143828	1144268	441	146	-1
SL1344_1376	slyA	1476732	1477172	441	146	1
SL1344_1392	ydgK	1491858	1492298	441	146	-1
SL1344_1504	SL1344_1504	1613198	1613638	441	146	1
SL1344_3609	yiaC	3851226	3851666	441	146	1
SL1344_0017	SL1344_0017	17043	17486	444	147	-1
SL1344_1226	yeaA	1326853	1327296	444	147	1
SL1344_1902	fliJ	2018869	2019312	444	147	1
SL1344_2209	SL1344_2209	2331729	2332172	444	147	-1
SL1344_2297	nuoA	2436771	2437214	444	147	-1
SL1344_2313	SL1344_2313	2454403	2454846	444	147	-1
SL1344_2872	invI	3058832	3059275	444	147	-1
SL1344_2879	invH	3066965	3067408	444	147	1
SL1344_2965	ygdK	3158623	3159066	444	147	1
SL1344_3243	yhbP	3458955	3459398	444	147	-1
SL1344_3842	mioC	4105477	4105920	444	147	-1
SL1344_4225	phnB	4550896	4551339	444	147	-1
SL1344_4406	holC	4740451	4740894	444	147	-1
SL1344_P1_0103	SL1344_P1_0103	92687	93130	444	147	-1
SL1344_0270	sciJ	316169	316615	447	148	1
SL1344_0285	sciW	332062	332508	447	148	1
SL1344_0288	sciX	337307	337753	447	148	1
SL1344_1014	yccF	1122186	1122632	447	148	-1
SL1344_1216	yeaL	1313814	1314260	447	148	-1
SL1344_2547	SL1344_2547	2729142	2729588	447	148	1
SL1344_2681	SL1344_2681	2868449	2868895	447	148	-1
SL1344_4388	SL1344_4388	4723095	4723541	447	148	-1
SL1344_4440	SL1344_4440	4784224	4784670	447	148	1
SL1344_4486	rimI	4833234	4833680	447	148	1
SL1344_0030	SL1344_0030	32545	32994	450	149	-1
SL1344_0049	fkpB	57344	57793	450	149	1
SL1344_0409	nrdR	468877	469326	450	149	1
SL1344_0565	SL1344_0565	635867	636316	450	149	-1
SL1344_0964	SL1344_0964	1069692	1070141	450	149	-1
SL1344_1522	ydcZ	1635713	1636162	450	149	1
SL1344_1573	SL1344_1573	1692892	1693341	450	149	-1
SL1344_2094	wzb	2198772	2199221	450	149	-1
SL1344_2226	napB	2352011	2352460	450	149	-1
SL1344_2411	yfeZ	2556975	2557424	450	149	-1
SL1344_2779	ygaU	2967727	2968176	450	149	-1
SL1344_2784	SL1344_2784	2970901	2971350	450	149	1
SL1344_2880	SL1344_2880	3067839	3068288	450	149	1
SL1344_2944	SL1344_2944	3136539	3136988	450	149	-1
SL1344_4327	rplI	4652084	4652533	450	149	1
SL1344_P1_0044A	SL1344_P1_0044A	41666	42115	450	149	-1
SL1344_P2_0006	yadA	3971	4420	450	149	1
SL1344_0493	ybbJ	560461	560913	453	150	-1
SL1344_0675	fur	755805	756257	453	150	-1
SL1344_0782	moaE	872144	872596	453	150	1
SL1344_0966	nucD	1071777	1072229	453	150	1
SL1344_1009	ycbG	1116763	1117215	453	150	1
SL1344_1835	ntpA	1952123	1952575	453	150	-1
SL1344_2032	pduV	2128718	2129170	453	150	1
SL1344_2576	SL1344_2576	2757116	2757568	453	150	-1
SL1344_2848	orgC	3035915	3036367	453	150	-1
SL1344_3752	yicN	4006848	4007300	453	150	-1
SL1344_4398	yjgK	4731804	4732256	453	150	1
SL1344_P2_0016	ybfA	12400	12852	453	150	1
SL1344_P2_0091	pilP	76812	77264	453	150	-1
SL1344_P2_0097	pilJ	82413	82865	453	150	-1
SL1344_0187	dksA	216394	216849	456	151	-1
SL1344_0228	fabZ	266532	266987	456	151	1
SL1344_0382	yaiI	439691	440146	456	151	1
SL1344_1080	csgB	1187273	1187728	456	151	1
SL1344_1081	csgA	1187770	1188225	456	151	1
SL1344_2305	SL1344_2305	2444860	2445315	456	151	-1
SL1344_2619	SL1344_2619	2796193	2796648	456	151	-1
SL1344_2659	yfjG	2837046	2837501	456	151	-1
SL1344_3141	SL1344_3141	3348632	3349087	456	151	1
SL1344_3697	dut	3946036	3946491	456	151	1
SL1344_4111	zraP	4409058	4409513	456	151	-1
SL1344_4133	SL1344_4133	4440671	4441126	456	151	-1
SL1344_4151	SL1344_4151	4456866	4457321	456	151	-1
SL1344_4189	SL1344_4189	4493918	4494373	456	151	-1
SL1344_0119	mraZ	139950	140408	459	152	1
SL1344_0313	gpt	362157	362615	459	152	1
SL1344_0453	ybaO	515754	516212	459	152	1
SL1344_0885	tnp	981703	982161	459	152	1
SL1344_1016	mgsA	1124846	1125304	459	152	-1
SL1344_1686	ychJ	1807912	1808370	459	152	1
SL1344_1746	tnpA_1a	1872138	1872596	459	152	-1
SL1344_1762	SL1344_1762	1888844	1889302	459	152	1
SL1344_2133	yehR	2249729	2250187	459	152	1
SL1344_2434	tnpA_1b	2577047	2577505	459	152	-1
SL1344_3267	tnpA_1c	3485437	3485895	459	152	-1
SL1344_3446	tnpA_1d	3656679	3657137	459	152	-1
SL1344_3843	asnCb	4106010	4106468	459	152	-1
SL1344_3908	yigG	4181115	4181573	459	152	-1
SL1344_4202	soxR	4525672	4526130	459	152	1
SL1344_4480	SL1344_4480	4828111	4828569	459	152	-1
SL1344_P2_0076	traH	65154	65612	459	152	-1
SL1344_0938	SL1344_0938	1049647	1050108	462	153	-1
SL1344_1173	ymfB	1279602	1280063	462	153	-1
SL1344_1739	ycgN	1867273	1867734	462	153	-1
SL1344_2281	elaA	2416854	2417315	462	153	-1
SL1344_2833	hycA	3021703	3022164	462	153	-1
SL1344_4291	yjeE	4620467	4620928	462	153	1
SL1344_4390	pyrI	4724079	4724540	462	153	-1
SL1344_4435	SL1344_4435	4780153	4780614	462	153	1
SL1344_4444	yjiG	4787861	4788322	462	153	-1
SL1344_4467	SL1344_4467	4815954	4816415	462	153	1
SL1344_4473	yjjA	4822856	4823317	462	153	-1
SL1344_0349	SL1344_0349	400346	400810	465	154	1
SL1344_1277	nlpC	1378873	1379337	465	154	1
SL1344_2689	SL1344_2689	2871131	2871595	465	154	-1
SL1344_3231	gatA	3448820	3449284	465	154	1
SL1344_3634	yiaL	3877964	3878428	465	154	1
SL1344_4318	ptxA	4647541	4648005	465	154	1
SL1344_4381	nrdG	4712551	4713015	465	154	-1
SL1344_0294	SL1344_0294	340510	340975	466	154,3333333	1
SL1344_0199	stfE	234790	235257	468	155	1
SL1344_0258	rnhA	302862	303329	468	155	-1
SL1344_0629	ybeA	703365	703832	468	155	-1
SL1344_1187	SL1344_1187	1292369	1292836	468	155	1
SL1344_1377	slyB	1477220	1477687	468	155	-1
SL1344_1904	fliL	2020631	2021098	468	155	1
SL1344_2037	gyrI	2133120	2133587	468	155	-1
SL1344_2135	yehS	2250946	2251413	468	155	-1
SL1344_3307	yhcH	3525858	3526325	468	155	-1
SL1344_3409	hopD	3618392	3618859	468	155	1
SL1344_3619	yafP	3859989	3860456	468	155	-1
SL1344_3667	secB	3917350	3917817	468	155	-1
SL1344_P1_0023	SL1344_P1_0023	25661	26128	468	155	-1
SL1344_0298	safD	345576	346046	471	156	1
SL1344_0411	ribH	470522	470992	471	156	1
SL1344_0464	ylaC	526302	526772	471	156	-1
SL1344_0564	manX	635419	635889	471	156	-1
SL1344_1184	pagC	1289191	1289661	471	156	1
SL1344_1919	vsr	2031446	2031916	471	156	-1
SL1344_2206	SL1344_2206	2328677	2329147	471	156	-1
SL1344_2454	bcp	2603355	2603825	471	156	1
SL1344_2588	SL1344_2588	2764947	2765417	471	156	-1
SL1344_2686	nucD2	2870219	2870689	471	156	-1
SL1344_2825	hycI	3014281	3014751	471	156	-1
SL1344_2978	comN	3178824	3179294	471	156	-1
SL1344_3332	argR	3549448	3549918	471	156	1
SL1344_3352	accB	3571515	3571985	471	156	1
SL1344_3414	rpsG	3623251	3623721	471	156	-1
SL1344_3836	atpF	4099847	4100317	471	156	-1
SL1344_P1_0036	SL1344_P1_0036	33259	33729	471	156	1
SL1344_P1_0051	SL1344_P1_0051	45085	45555	471	156	-1
SL1344_P2_0031	ycgA	20956	21426	471	156	1
SL1344_P2_0040	yddA	27955	28425	471	156	1
SL1344_0641	ybeL	715976	716449	474	157	1
SL1344_0657	ybeY	732177	732650	474	157	-1
SL1344_0810	SL1344_0810	901532	902005	474	157	1
SL1344_0858	ybjO	951857	952330	474	157	1
SL1344_1075	ycdZ	1183653	1184126	474	157	1
SL1344_1333	sscA	1441373	1441846	474	157	1
SL1344_1979	SL1344_1979	2082173	2082646	474	157	1
SL1344_2084	gmm	2188875	2189348	474	157	-1
SL1344_2575	SL1344_2575	2756646	2757119	474	157	-1
SL1344_3056	SL1344_3056	3262534	3263007	474	157	-1
SL1344_3371	smg	3596717	3597190	474	157	-1
SL1344_3457	comC	3666276	3666749	474	157	-1
SL1344_3470	greB	3682073	3682546	474	157	1
SL1344_3631	ysaA	3875334	3875807	474	157	-1
SL1344_3636	yiaM	3879523	3879996	474	157	1
SL1344_3660	yibK	3910906	3911379	474	157	1
SL1344_3750	SL1344_3750	4005261	4005734	474	157	-1
SL1344_4476	SL1344_4476	4824747	4825220	474	157	-1
SL1344_4514	creA	4864327	4864800	474	157	1
SL1344_0200	stfF	235254	235730	477	158	1
SL1344_0769	ybhB	857515	857991	477	158	-1
SL1344_0853	ybjN	946820	947296	477	158	1
SL1344_1786	SL1344_1786	1911711	1912187	477	158	1
SL1344_3037	ygfA	3243142	3243618	477	158	1
SL1344_3271	greA	3489346	3489822	477	158	-1
SL1344_3410	bfr	3618856	3619332	477	158	-1
SL1344_0088	folA	100842	101321	480	159	1
SL1344_0184	folK	213394	213873	480	159	-1
SL1344_0488	ybaK	554891	555370	480	159	-1
SL1344_2223C	ccmE2	2348631	2349110	480	159	-1
SL1344_2432	eutP	2575739	2576218	480	159	-1
SL1344_2601	rseC	2777727	2778206	480	159	-1
SL1344_2908	ispF	3092827	3093306	480	159	-1
SL1344_3691	coaD	3941938	3942417	480	159	1
SL1344_3727	cigR	3982062	3982541	480	159	-1
SL1344_3782	ccmE1	4037156	4037635	480	159	-1
SL1344_0508	allA	575491	575973	483	160	1
SL1344_2022	pduK	2121038	2121520	483	160	1
SL1344_2660	smpB	2837672	2838154	483	160	1
SL1344_2857	iagB	3044111	3044593	483	160	1
SL1344_2999	SL1344_2999	3203361	3203843	483	160	1
SL1344_3144	SL1344_3144	3353326	3353808	483	160	1
SL1344_3724	fidL	3979037	3979519	483	160	-1
SL1344_0226	hlpA	264912	265397	486	161	1
SL1344_0271	sciK	316869	317354	486	161	1
SL1344_0272	SL1344_0272	317659	318144	486	161	1
SL1344_0274	sciK1	318655	319140	486	161	1
SL1344_0681	SL1344_0681	760924	761409	486	161	-1
SL1344_0780	moaC	871419	871904	486	161	1
SL1344_1243	SL1344_1243	1345410	1345895	486	161	1
SL1344_1955	rzpR	2062519	2063004	486	161	-1
SL1344_2356	sixA	2495127	2495612	486	161	-1
SL1344_2642	gpF	2823088	2823573	486	161	1
SL1344_2667	gpU	2857000	2857485	486	161	-1
SL1344_3105	SL1344_3105	3311675	3312160	486	161	-1
SL1344_3204	yqjF	3418650	3419135	486	161	1
SL1344_3617	SL1344_3617	3859051	3859536	486	161	-1
SL1344_3736	SL1344_3736	3992723	3993208	486	161	-1
SL1344_3910	yigI	4182536	4183021	486	161	-1
SL1344_4038	menG	4319014	4319499	486	161	-1
SL1344_P1_0074	SL1344_P1_0074	69880	70365	486	161	-1
SL1344_0289	sciY	338265	338753	489	162	1
SL1344_0340	SL1344_0340	388984	389472	489	162	1
SL1344_1476	SL1344_1476	1581046	1581534	489	162	1
SL1344_2091	wcaB	2195196	2195684	489	162	-1
SL1344_2332	cvpA	2473607	2474095	489	162	-1
SL1344_3119	hybE	3328515	3329003	489	162	-1
SL1344_3512	yhhY	3736939	3737427	489	162	1
SL1344_3931	rfaH	4204469	4204957	489	162	-1
SL1344_4104	rsd	4404081	4404569	489	162	-1
SL1344_4393	SL1344_4393	4725715	4726203	489	162	-1
SL1344_4402	ytgA	4734974	4735462	489	162	-1
SL1344_P1_0060	SL1344_P1_0060	54429	54917	489	162	1
SL1344_0117	ilvH	137565	138056	492	163	1
SL1344_2024	pduM	2122149	2122640	492	163	1
SL1344_2231	napF	2356870	2357361	492	163	-1
SL1344_3294	ptsN	3507688	3508179	492	163	1
SL1344_3344	mreD	3563328	3563819	492	163	-1
SL1344_4254	SL1344_4254	4583430	4583921	492	163	1
SL1344_0263	sciD	308613	309107	495	164	-1
SL1344_0529	ppiB	597956	598450	495	164	-1
SL1344_0897	lrp	993279	993773	495	164	1
SL1344_2232	eco	2357775	2358269	495	164	1
SL1344_2304	yfbU	2444283	2444777	495	164	-1
SL1344_2418	eutK	2562876	2563370	495	164	-1
SL1344_2506	yfhP	2680648	2681142	495	164	-1
SL1344_3120	hybD	3328996	3329490	495	164	-1
SL1344_3127	yqhA	3336977	3337471	495	164	-1
SL1344_P1_0009	traS	10679	11173	495	164	-1
SL1344_P2_0009	yafA	5163	5657	495	164	-1
SL1344_0982	SL1344_0982	1085991	1086488	498	165	1
SL1344_1868	ftn	1986959	1987456	498	165	1
SL1344_2810	ygaD	2998576	2999073	498	165	-1
SL1344_2865	sicA	3053474	3053971	498	165	-1
SL1344_3067	sprT	3275515	3276012	498	165	1
SL1344_4090	rplJ	4385992	4386489	498	165	1
SL1344_4170	ubiC	4475990	4476487	498	165	1
SL1344_4523A	SL1344_4523A	4875184	4875683	500	165,6666667	-1
SL1344_0048	lspA	56689	57189	501	166	1
SL1344_0337	SL1344_0337	385794	386294	501	166	1
SL1344_0967	SL1344_0967	1072226	1072726	501	166	1
SL1344_2294	nuoE	2433701	2434201	501	166	-1
SL1344_2808	oraA	2996813	2997313	501	166	-1
SL1344_3313	sspB	3531464	3531964	501	166	-1
SL1344_4009	cpxP	4292033	4292533	501	166	1
SL1344_0806	dps	896748	897251	504	167	-1
SL1344_1660	yciF	1782683	1783186	504	167	1
SL1344_1855	cheW	1974221	1974724	504	167	-1
SL1344_1865	ftnB	1984808	1985311	504	167	1
SL1344_1951	SL1344_1951	2060334	2060837	504	167	-1
SL1344_3245	yhbS	3459740	3460243	504	167	-1
SL1344_3390	rpsE	3609469	3609972	504	167	-1
SL1344_4403	yjgM	4735569	4736072	504	167	-1
SL1344_1055	scsD	1159383	1159889	507	168	1
SL1344_1612	tpx	1732438	1732944	507	168	1
SL1344_1661	yciE	1783260	1783766	507	168	1
SL1344_3186	mug	3399077	3399583	507	168	-1
SL1344_0429	yajQ	487285	487794	510	169	1
SL1344_0527	purE	596604	597113	510	169	-1
SL1344_1011	sulA	1118696	1119205	510	169	-1
SL1344_1166	SL1344_1166	1270948	1271457	510	169	1
SL1344_1886	tnpA_2b	2003303	2003812	510	169	-1
SL1344_2396	crr	2544376	2544885	510	169	1
SL1344_2635	cIIb	2818166	2818675	510	169	1
SL1344_2706	cIIc	2885953	2886462	510	169	-1
SL1344_3373	def	3598418	3598927	510	169	1
SL1344_0295	safA	341687	342199	513	170	1
SL1344_0779	moaB	870904	871416	513	170	1
SL1344_1037	hpaC	1141518	1142030	513	170	-1
SL1344_3004	STM30251N	3207430	3207942	513	170	-1
SL1344_0414	pgpA	472466	472981	516	171	1
SL1344_0435	cyoC	494071	494586	516	171	-1
SL1344_0474	priC	538604	539119	516	171	-1
SL1344_0808	ompX	898795	899310	516	171	1
SL1344_0830	SL1344_0830	925442	925957	516	171	1
SL1344_0868	ybjP	961261	961776	516	171	-1
SL1344_1521	yncA	1635198	1635713	516	171	1
SL1344_1590	ogt	1710516	1711031	516	171	1
SL1344_1971	SL1344_1971	2075984	2076499	516	171	1
SL1344_2502	hscB	2677776	2678291	516	171	-1
SL1344_2671	SL1344_2671	2860773	2861288	516	171	-1
SL1344_2802	luxS	2988846	2989361	516	171	-1
SL1344_3128	SL1344_3128	3337751	3338266	516	171	-1
SL1344_3941	mobB	4223122	4223637	516	171	-1
SL1344_3950	yihI	4231905	4232420	516	171	1
SL1344_4002	SL1344_4002	4286131	4286646	516	171	-1
SL1344_4177	zur	4483092	4483607	516	171	-1
SL1344_4264	fxsA	4593264	4593779	516	171	1
SL1344_4449	SL1344_4449	4794345	4794860	516	171	1
SL1344_4511	yjjX	4862038	4862553	516	171	-1
SL1344_P1_0025	traV	26477	26992	516	171	-1
SL1344_P2_0041	ard	28331	28846	516	171	1
SL1344_0026	bcfF	29994	30512	519	172	1
SL1344_0541	fimF	609180	609698	519	172	1
SL1344_1007	fabA	1114230	1114748	519	172	-1
SL1344_1217	yeaK	1314570	1315088	519	172	-1
SL1344_1943	SL1344_1943	2053859	2054377	519	172	-1
SL1344_2212	SL1344_2212	2334382	2334900	519	172	-1
SL1344_2345	SL1344_2345	2484999	2485517	519	172	1
SL1344_2629	yfiR	2813398	2813916	519	172	1
SL1344_3242	yhbO	3458457	3458975	519	172	1
SL1344_P1_0041	ssbB	38939	39457	519	172	-1
SL1344_P1_0087	pefA	79755	80273	519	172	1
SL1344_P1_0090	SL1344_P1_0090	83648	84166	519	172	1
SL1344_0283	sciV	328931	329452	522	173	1
SL1344_1127	yceD	1231415	1231936	522	173	1
SL1344_1181	envE	1286749	1287270	522	173	-1
SL1344_1372	sodCb	1472902	1473423	522	173	1
SL1344_1833	ruvC	1950795	1951316	522	173	-1
SL1344_1932	SL1344_1932	2044503	2045024	522	173	-1
SL1344_2018	pduE	2118037	2118558	522	173	1
SL1344_2640	SL1344_2640	2819701	2820222	522	173	1
SL1344_2734	SL1344_2734	2911787	2912308	522	173	1
SL1344_2887	SL1344_2887	3072175	3072696	522	173	-1
SL1344_3021	fldB	3226154	3226675	522	173	1
SL1344_3454	aroK	3663746	3664267	522	173	-1
SL1344_P1_0077	SL1344_P1_0077	72411	72932	522	173	-1
SL1344_P1_0081	SL1344_P1_0081	74422	74943	522	173	1
SL1344_3899A	SL1344_3899A	4172859	4173381	523	173,3333333	-1
SL1344_0341	SL1344_0341	389874	390398	525	174	1
SL1344_0731	pal	816702	817226	525	174	1
SL1344_3246	yhbT	3460237	3460761	525	174	-1
SL1344_4148	SL1344_4148	4454731	4455255	525	174	-1
SL1344_1444	ydeJ	1549230	1549757	528	175	-1
SL1344_2210	SL1344_2210	2332550	2333077	528	175	-1
SL1344_2782	ygaP	2968926	2969453	528	175	1
SL1344_2885	SL1344_2885	3070195	3070722	528	175	1
SL1344_3093	SL1344_3093	3298878	3299405	528	175	-1
SL1344_3601	lpfE	3843810	3844337	528	175	-1
SL1344_P2_0035	ssb	23250	23777	528	175	1
SL1344_P2_0064	traQ	53913	54440	528	175	-1
SL1344_0086	yabF	98258	98788	531	176	1
SL1344_0189	ligT	217747	218277	531	176	-1
SL1344_0201	stfG	235730	236260	531	176	1
SL1344_0676	fldA	756539	757069	531	176	-1
SL1344_0815	ybiV2	907270	907800	531	176	-1
SL1344_1189	SL1344_1189	1294301	1294831	531	176	-1
SL1344_1569	cybB	1686676	1687206	531	176	-1
SL1344_1735	dsbB	1865367	1865897	531	176	1
SL1344_2129	stcA	2244813	2245343	531	176	-1
SL1344_2134	SL1344_2134	2250359	2250889	531	176	1
SL1344_2798	emrR	2983697	2984227	531	176	1
SL1344_2982	nudH	3183630	3184160	531	176	-1
SL1344_3251	SL1344_3251	3464901	3465431	531	176	1
SL1344_3771	yidF	4027170	4027700	531	176	-1
SL1344_4041	hslV	4321929	4322459	531	176	-1
SL1344_4192	ssb	4497578	4498108	531	176	1
SL1344_4347	ppa	4675322	4675852	531	176	-1
SL1344_4415	idnK	4749794	4750324	531	176	1
SL1344_0016	SL1344_0016	16493	17026	534	177	-1
SL1344_0537	fimI	604236	604769	534	177	1
SL1344_0968	SL1344_0968	1072934	1073467	534	177	1
SL1344_0983	sodCa	1086605	1087138	534	177	-1
SL1344_1803	SL1344_1803	1923075	1923608	534	177	-1
SL1344_1935	SL1344_1935	2045994	2046527	534	177	-1
SL1344_3392	rplF	3610350	3610883	534	177	-1
SL1344_3508	gntK	3732817	3733350	534	177	-1
SL1344_3835	atpH	4099299	4099832	534	177	-1
SL1344_4276	blc	4602415	4602948	534	177	-1
SL1344_P2_0102	traB	84947	85480	534	177	-1
SL1344_0171	hpt	200812	201348	537	178	1
SL1344_0275	sciN	319207	319743	537	178	1
SL1344_0335	stbA	383887	384423	537	178	-1
SL1344_1258	yniB	1360010	1360546	537	178	1
SL1344_1535	ydcN	1652532	1653068	537	178	-1
SL1344_3010	SL1344_3010	3214534	3215070	537	178	-1
SL1344_3606	lpfA	3848764	3849300	537	178	-1
SL1344_0178	stiA	208379	208918	540	179	-1
SL1344_0408	yajI	468186	468725	540	179	-1
SL1344_1084	SL1344_1084	1189154	1189693	540	179	1
SL1344_1149	ycfJ	1252079	1252618	540	179	1
SL1344_1541	rimL	1657895	1658434	540	179	-1
SL1344_1666	ispZ	1786952	1787491	540	179	1
SL1344_1970	SL1344_1970	2075147	2075686	540	179	1
SL1344_2402	yfeL	2548697	2549236	540	179	1
SL1344_2755	fljA	2935199	2935738	540	179	-1
SL1344_3395	rplE	3611642	3612181	540	179	-1
SL1344_3458	comB	3666733	3667272	540	179	-1
SL1344_4127	SL1344_4127	4436182	4436721	540	179	1
SL1344_4475	dnaT	4824115	4824654	540	179	-1
SL1344_P3_0012	SL1344_P3_0012	6504	7043	540	179	1
SL1344_0021	bcfA	24469	25011	543	180	1
SL1344_0267	sciH	313924	314466	543	180	1
SL1344_0536	fimA	603618	604160	543	180	1
SL1344_0679	seqA	758602	759144	543	180	1
SL1344_0999	ycbW	1104459	1105001	543	180	1
SL1344_1147	ycfP	1249799	1250341	543	180	1
SL1344_1268	infC	1370987	1371529	543	180	1
SL1344_1458	SL1344_1458	1562009	1562551	543	180	-1
SL1344_2290	nuoI	2428079	2428621	543	180	-1
SL1344_2828	hycF	3015918	3016460	543	180	-1
SL1344_3370	yrdD	3596148	3596690	543	180	-1
SL1344_3896	SL1344_3896	4171105	4171647	543	180	1
SL1344_0025	bcfE	29433	29978	546	181	1
SL1344_0240	yaeQ	280687	281232	546	181	1
SL1344_0383	aroL	440331	440876	546	181	1
SL1344_0533	ybcI	601303	601848	546	181	-1
SL1344_0738	SL1344_0738	824174	824719	546	181	-1
SL1344_1204	aroQ	1306706	1307251	546	181	1
SL1344_1933	SL1344_1933	2045059	2045604	546	181	-1
SL1344_1994	cobU	2096855	2097400	546	181	-1
SL1344_2573	SL1344_2573	2755177	2755722	546	181	-1
SL1344_2823	hydN	3012699	3013244	546	181	-1
SL1344_2947	syd	3138730	3139275	546	181	-1
SL1344_3015	idi	3219318	3219863	546	181	1
SL1344_3494	SL1344_3494	3711607	3712152	546	181	-1
SL1344_3940	hemG	4216681	4217226	546	181	1
SL1344_4087	nusG	4383733	4384278	546	181	1
SL1344_4287	orn	4615378	4615923	546	181	1
SL1344_4522	SL1344_4522	4873429	4873974	546	181	-1
SL1344_0933	ycbK	1043688	1044236	549	182	1
SL1344_1021	SL1344_1021	1128494	1129042	549	182	1
SL1344_1344	SL1344_1344	1447896	1448444	549	182	1
SL1344_1875	pgsA	1993381	1993929	549	182	-1
SL1344_2350	yfcM	2490072	2490620	549	182	-1
SL1344_2648	rimM	2827261	2827809	549	182	-1
SL1344_2715	SL1344_2715	2893177	2893725	549	182	-1
SL1344_3883	rffC	4154655	4155203	549	182	1
SL1344_3928	tatB	4202307	4202855	549	182	1
SL1344_P1_0012	trbB	15380	15928	549	182	-1
SL1344_0063	citX2	72403	72954	552	183	1
SL1344_0465	maa	526889	527440	552	183	-1
SL1344_0476	apt	539730	540281	552	183	1
SL1344_0608	citX	682762	683313	552	183	-1
SL1344_1231	ydjA	1331793	1332344	552	183	1
SL1344_1275	btuE	1377496	1378047	552	183	1
SL1344_1884	fliZ	2001705	2002256	552	183	-1
SL1344_2071	rfbC	2172833	2173384	552	183	-1
SL1344_2316	yfcE	2456735	2457286	552	183	-1
SL1344_2355	yfcN	2494476	2495027	552	183	1
SL1344_2530	yfhC	2711709	2712260	552	183	-1
SL1344_2719	SL1344_2719	2896802	2897353	552	183	1
SL1344_3283	yrbD	3499017	3499568	552	183	-1
SL1344_3425	yheR	3630498	3631049	552	183	-1
SL1344_4367	yjgA	4701762	4702313	552	183	-1
SL1344_P1_0075	SL1344_P1_0075	71034	71585	552	183	-1
SL1344_P2_0072	nuc	62341	62892	552	183	-1
SL1344_1074	ycdY	1182989	1183543	555	184	1
SL1344_2030	pduT	2127809	2128363	555	184	1
SL1344_2087	wcaF	2191464	2192018	555	184	-1
SL1344_2289	nuoJ	2427514	2428068	555	184	-1
SL1344_2315	SL1344_2315	2456124	2456678	555	184	-1
SL1344_3290	yhbN	3504493	3505047	555	184	1
SL1344_3366	yrdA	3593964	3594518	555	184	1
SL1344_3682	rfaY	3933080	3933634	555	184	-1
SL1344_0220	frr	257144	257701	558	185	1
SL1344_0600	SL1344_0600	675468	676025	558	185	1
SL1344_1597	SL1344_1597	1716546	1717103	558	185	-1
SL1344_1864	araH	1983700	1984257	558	185	-1
SL1344_2223A	ccmG2	2346149	2346706	558	185	-1
SL1344_3099	SL1344_3099	3305580	3306137	558	185	-1
SL1344_3545	SL1344_3545	3768984	3769541	558	185	1
SL1344_3780	ccmG1	4034674	4035231	558	185	-1
SL1344_4338	ytfJ	4663081	4663638	558	185	-1
SL1344_4519	sthD	4869517	4870074	558	185	-1
SL1344_P1_0096	rcK	88293	88850	558	185	1
SL1344_0196	stfA	230653	231213	561	186	1
SL1344_0554	ykgB	621547	622107	561	186	1
SL1344_0598	SL1344_0598	672639	673199	561	186	1
SL1344_0786	SL1344_0786	874842	875402	561	186	1
SL1344_1101	yceB	1205807	1206367	561	186	-1
SL1344_1432	speG	1537564	1538124	561	186	-1
SL1344_1942	SL1344_1942	2053302	2053862	561	186	-1
SL1344_2921	SL1344_2921	3103927	3104487	561	186	-1
SL1344_P1_0073	SL1344_P1_0073	68591	69151	561	186	-1
SL1344_P2_0087	pilT	72936	73496	561	186	-1
SL1344_0146	ampD	169358	169921	564	187	1
SL1344_0596	ahpC	669937	670500	564	187	1
SL1344_1005	ymbA	1113144	1113707	564	187	1
SL1344_1589	ydaL	1709695	1710258	564	187	-1
SL1344_2221	SL1344_2221	2343125	2343688	564	187	-1
SL1344_2578	SL1344_2578	2759753	2760316	564	187	-1
SL1344_2740	hxlB	2916910	2917473	564	187	-1
SL1344_2812	srlA	3000884	3001447	564	187	1
SL1344_2977	comO	3178270	3178833	564	187	-1
SL1344_3071	yqgE	3278805	3279368	564	187	1
SL1344_3436	pabA	3641242	3641805	564	187	-1
SL1344_3461	nudE	3670820	3671383	564	187	-1
SL1344_P1_0001	finO	21	584	564	187	-1
SL1344_0009	yaaH	9376	9942	567	188	-1
SL1344_0249	yaeD	288235	288801	567	188	1
SL1344_0697	fimB	781039	781605	567	188	1
SL1344_0975	SL1344_0975	1080001	1080567	567	188	1
SL1344_1763	yebN	1889712	1890278	567	188	1
SL1344_1837	yecD	1954775	1955341	567	188	1
