locus tag	gene name	function	log2FC	logCPM	PValue	q.value
SL1344_0813	ybiT	ABC transporter ATP-binding protein	-0.297	6.208	0.086	0.440
SL1344_0814	SL1344_0814	conserved hypothetical protein	-0.061	8.664	0.616	0.947
SL1344_0815	ybiV2	conserved hypothetical protein	0.013	7.794	0.946	1.000
SL1344_0817	ybiU	conserved hypothetical protein	0.184	6.655	0.216	0.673
SL1344_0818	ybiV1	conserved hypothetical protein	-0.101	5.570	0.634	0.955
SL1344_0819	pflF	hypothetical formate acetyltransferase 3	0.142	6.464	0.391	0.822
SL1344_0820	pflE	hypothetical pyruvate formate-lyase 3 activating enzyme	0.022	7.237	0.866	1.000
SL1344_0821	moeB	molybdopterin biosynthesis MoeB protein	0.354	5.913	0.049	0.321
SL1344_0822	moeA	molybdopterin biosynthesis MoeA protein	-0.255	5.929	0.245	0.695
SL1344_0823	ybiK	hypothetical L-asparaginase	0.194	1.882	1.000	1.000
SL1344_0824	yliA	hypothetical ABC transporter ATP-binding protein	0.135	6.705	0.367	0.803
SL1344_0825	yliB	hypothetical ABC transporter periplasmic binding protein	0.120	6.558	0.455	0.858
SL1344_0826	yliC	hypothetical ABC transporter permease protein	-0.317	4.247	0.405	0.831
SL1344_0827	yliD	hypothetical ABC transporter permease protein	-0.020	6.239	0.936	1.000
SL1344_0828	rimO	conserved hypothetical protein	0.118	6.358	0.502	0.889
SL1344_0829	bssR	conserved hypothetical protein	0.103	5.427	0.695	0.970
SL1344_0830	SL1344_0830	conserved hypothetical protein	-0.591	3.766	0.141	0.561
SL1344_0831	SL1344_0831	hypothetical electron transfer flavoprotein (beta subunit)	-0.219	5.216	0.437	0.848
SL1344_0832	SL1344_0832	hypothetical electron transfer flavoprotein (alpha subunit)	-0.063	8.397	0.614	0.947
SL1344_0833	SL1344_0833	hypothetical acyl-CoA dehydrogenase	0.068	9.825	0.538	0.904
SL1344_0834	SL1344_0834	hypothetical flavoprotein	-0.021	9.414	0.858	1.000
SL1344_0835	SL1344_0835	LysR transcriptional regulator	0.031	8.935	0.803	0.996
SL1344_0836	SL1344_0836	hypothetical inner membrane protein	-0.049	8.839	0.681	0.965
SL1344_0837	yliI	hypothetical dehydrogenase	0.289	6.155	0.086	0.440
SL1344_0838	yliJ	glutathione s-transferase family protein	0.261	5.958	0.138	0.555
SL1344_0839	dacC	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 6 precursor)	0.113	6.814	0.535	0.902
SL1344_0840	deoR	deoxyribose operon repressor	0.548	3.255	0.243	0.694
SL1344_0841	ybjG	hypothetical permease protein	0.094	6.241	0.637	0.956
SL1344_0842	mdfA	multidrug translocase MdfA	0.016	6.943	0.930	1.000
SL1344_0843	SL1344_0843	conserved hypothetical protein	-0.157	5.662	0.456	0.859
SL1344_0844	SL1344_0844	hypothetical membrane protein	-0.092	6.098	0.601	0.943
SL1344_0845	SL1344_0845	hypothetical tetR-family transcriptional regulator	-0.226	3.328	0.761	0.985
SL1344_0846	SL1344_0846	hypothetical membrane protein	-0.093	7.537	0.461	0.861
SL1344_0847	ybjM	hypothetical membrane protein	-0.317	6.562	0.047	0.317
SL1344_0848	grxA	glutaredoxin 1	0.571	3.630	0.181	0.630
SL1344_0850	mdaA	pseudogene	-0.002	5.107	1.000	1.000
SL1344_0852	rimK	ribosomal protein S6 modification protein	0.010	5.052	1.000	1.000
SL1344_0853	ybjN	conserved hypothetical protein	0.171	3.465	0.741	0.976
SL1344_0854	potF	putrescine-binding periplasmic protein precursor	0.212	5.885	0.326	0.778
SL1344_0855	potG	putrescine transport ATP-binding protein PotG	-0.067	5.262	0.822	1.000
SL1344_0856	potH	putrescine transport system permease protein PotH	-0.224	5.943	0.214	0.673
SL1344_0857	potI	putrescine transport system permease protein PotI	0.042	5.036	0.900	1.000
SL1344_0858	ybjO	hypothetical membrane protein	0.039	5.642	0.891	1.000
SL1344_0859	rumB	hypothetical RNA methyltransferase	-0.257	7.313	0.077	0.418
SL1344_0860	SL1344_0860	possible transport protein	-0.011	9.908	0.925	1.000
SL1344_0861	SL1344_0861	hypothetical phosphotransferase enzyme II, B component	0.136	7.509	0.325	0.778
SL1344_0862	SL1344_0862	probable sulfatase	0.165	6.556	0.341	0.791
SL1344_0863	artJ	arginine-binding periplasmic protein 2 precursor	-0.250	5.190	0.293	0.748
SL1344_0864	artM	arginine transport system permease protein ArtM	-0.091	6.403	0.619	0.949
SL1344_0865	artQ	arginine transport system permease protein ArtQ	0.030	3.444	1.000	1.000
SL1344_0866	artI	arginine-binding periplasmic protein 1 precursor	0.072	6.531	0.645	0.957
SL1344_0867	artP	arginine transport ATP-binding protein ArtP	0.321	4.431	0.341	0.791
SL1344_0868	ybjP	probable lipoprotein	0.230	4.862	0.399	0.826
SL1344_0870	ybjR	hypothetical N-acetylmuramoyl-L-alanine amidase	-0.426	5.331	0.065	0.378
SL1344_0871	SL1344_0871	hypothetical oxidoreductase	-0.094	5.265	0.680	0.965
SL1344_0872	ybjT	conserved hypothetical protein	-0.047	6.309	0.826	1.000
SL1344_0873	ltaA	L-allo-threonine aldolase	0.067	5.990	0.725	0.975
SL1344_0874	poxB	pyruvate dehydrogenase	0.046	7.209	0.716	0.975
SL1344_0875	hcr	hybrid-cluster protein oxidoreductase-FAD and [2FE-2S] cofactors, NADH as electron donor	-0.023	6.560	0.921	1.000
SL1344_0876	hcp	hydroxylamine reductase, hybrid cluster [2Fe-2S] protein	0.070	6.948	0.648	0.959
SL1344_0877	ybjE	hypothetical membrane protein	0.171	6.539	0.284	0.736
SL1344_0878	ybjD	conserved hypothetical protein	-0.106	7.121	0.427	0.841
SL1344_0879	ybjX	hypothetical virK protein	0.129	8.305	0.288	0.739
SL1344_0880	ybjY	hypothetical exported protein	-0.118	6.877	0.389	0.821
SL1344_0881	ybjZ	conserved hypothetical ABC transporter	-0.156	6.893	0.250	0.699
SL1344_0883	clpS	conserved hypothetical protein	-0.496	2.231	0.541	0.906
SL1344_0884	clpA	ATP-dependent Clp protease ATP-binding subunit ClpA	0.438	7.039	0.001	0.017
SL1344_0886	SL1344_0886	hypothetical integrase protein	0.354	5.620	0.090	0.452
SL1344_0887	SL1344_0887	ISPsy11, transposase OrfA	-0.042	2.671	1.000	1.000
SL1344_0888	SL1344_0888	conserved hypothetical protein	-0.023	6.497	0.913	1.000
SL1344_0889	SL1344_0889	hypothetical pirin-related protein	-0.112	5.504	0.611	0.945
SL1344_0890	SL1344_0890	hypothetical transcriptional activator	-0.302	4.566	0.323	0.777
SL1344_0892	SL1344_0892	inner membrane protein	0.786	3.146	0.185	0.636
SL1344_0893	aat	leucyl/phenylalanyl-tRNA-protein transferase	0.071	4.662	0.828	1.000
SL1344_0896	trxB	thioredoxin reductase	-0.292	3.510	0.686	0.967
SL1344_0897	lrp	leucine-responsive regulatory protein	0.014	4.720	1.000	1.000
SL1344_0900	ycaJ	conserevd hypothetical protein	0.071	5.189	0.808	0.998
SL1344_0902	dmsA	anaerobic dimethyl sulfoxide reductase chain A precursor	0.128	6.820	0.367	0.803
SL1344_0904	dmsC	anaerobic dimethyl sulfoxide reductase chain C	-0.160	5.928	0.375	0.810
SL1344_0905	ycaD	probable transport protein	-0.084	7.188	0.543	0.908
SL1344_0906	ycaM	probable transport protein	-0.096	9.317	0.399	0.826
SL1344_0907	pflA	pyruvate formate-lyase 1 activating enzyme	-0.326	6.737	0.049	0.323
SL1344_0908	SL1344_0908	hypothetical conserved hypothetical protein	0.095	6.665	0.512	0.893
SL1344_0909	sopD2	type III secretion system effector protein	-0.391	7.963	0.003	0.042
SL1344_0910	pflB	formate acetyltransferase 1	-0.018	8.023	0.898	1.000
SL1344_0911	focA	probable formate transporter (formate channel)	0.039	6.893	0.789	0.991
SL1344_0912	ycaO	conserved hypothetical protein	-0.101	8.607	0.408	0.833
SL1344_0913	ycaP	hypothetical membrane protein	-0.390	7.318	0.004	0.044
SL1344_0914	serC	phosphoserine aminotransferase	-0.277	7.624	0.116	0.522
SL1344_0915	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	-0.457	6.752	0.002	0.030
SL1344_0916	ycaL	hypothetical lipoprotein	-0.037	5.511	0.844	1.000
SL1344_0918	rpsA	30S ribosomal protein S1	-2.284	1.232	0.233	0.683
SL1344_0919	himD	integration host factor beta-subunit (IHF-beta)	-1.891	3.073	0.001	0.015
SL1344_0920	rec2	competence gene-DNA binding and transport	-0.063	7.606	0.649	0.960
SL1344_0922	lpxK	tetraacyldisaccharide 4'-kinase	-0.217	3.066	0.783	0.990
SL1344_0923	ycaQ	conserved hypothetical protein	-0.056	7.899	0.669	0.963
SL1344_0926	SL1344_0926	conserved hypothetical protein	-0.072	7.353	0.654	0.960
SL1344_0927	ycbC	hypothetical membrane protein	-0.605	3.512	0.217	0.673
SL1344_0928	smtA	SmtA protein	0.048	4.866	0.894	1.000
SL1344_0932	ycbB	hypothetical exported protein	0.286	6.463	0.080	0.428
SL1344_0933	ycbK	outer membrane protein	0.119	3.403	0.914	1.000
SL1344_0934	ycbL	conserved hypothetical protein	-0.046	4.875	0.893	1.000
SL1344_0935	aspC	aspartate aminotransferase	-0.523	4.635	0.080	0.428
SL1344_0936	ompF	outer membrane protein F precursor	0.005	6.242	1.000	1.000
SL1344_0938	SL1344_0938	hypothetical transcriptional regulator	0.201	3.596	0.773	0.988
SL1344_0939	dpaL	diaminopropionate ammonia-lyase (ec 4.3.1.15) (diaminopropionatase) (alpha,beta-diaminopropionate ammonia-lyase)	-0.008	9.234	0.949	1.000
SL1344_0940	SL1344_0940	hypothetical ion:amino acid symporter	-0.047	8.809	0.699	0.970
SL1344_0941	pncB	nicotinate phosphoribosyltransferase (ec 2.4.2.11) (naprtase)	0.176	6.008	0.321	0.777
SL1344_0942	SL1344_0942	bacteriophage integrase	-0.030	6.243	0.853	1.000
SL1344_0945	SL1344_0945	predicted bacteriophage protein	0.389	4.176	0.406	0.832
SL1344_0946	recEa	exodeoxyribonuclease viii	0.194	7.708	0.181	0.630
SL1344_0947	SL1344_0947	predicted bacteriophage protein	0.145	6.577	0.385	0.818
SL1344_0948	SL1344_0948	predicted bacteriophage protein	0.321	3.991	0.499	0.887
SL1344_0949	SL1344_0949	predicted bacteriophage protein	0.030	2.781	1.000	1.000
SL1344_0951	C1	transcriptional activator-regulatory protein	0.237	4.242	0.484	0.878
SL1344_0952	SL1344_0952	Gifsy-2 replication Protein O	-0.155	8.159	0.231	0.682
SL1344_0953	SL1344_0953	Phage DNA Replication Protein	-0.024	6.390	0.908	1.000
SL1344_0954	SL1344_0954	predicted bacteriophage protein	0.294	2.977	0.661	0.962
SL1344_0955	SL1344_0955	predicted bacteriophage protein	-0.054	6.427	0.770	0.988
SL1344_0956	SL1344_0956	predicted bacteriophage protein	0.058	7.808	0.773	0.988
SL1344_0957	SL1344_0957	DNA Damage Inducible Protein	-0.016	4.922	1.000	1.000
SL1344_0958	SL1344_0958	Gifsy-2 bacteriophage protein	-0.003	5.910	0.968	1.000
SL1344_0959	ninG	ninG	-0.436	6.162	0.013	0.123
SL1344_0960	SL1344_0960	predicted bacteriophage protein	-0.196	4.825	0.534	0.902
SL1344_0961	SL1344_0961	antitermination Protein q	-0.188	7.981	0.145	0.565
SL1344_0962	SL1344_0962	Putative Probacteriophage Protein	0.129	5.798	0.551	0.914
SL1344_0964	SL1344_0964	hypothetical bacteriophage lipoprotein	0.040	5.941	0.857	1.000
SL1344_0965	gtgA	hypothetical bacteriophage encoded virulence protein	-0.073	7.260	0.611	0.945
SL1344_0966	nucD	hypothetical bacteriophage lysozyme	-0.670	3.011	0.200	0.651
SL1344_0967	SL1344_0967	hypothetical bacteriophage lysozyme	-0.295	4.818	0.348	0.796
SL1344_0968	SL1344_0968	predicted bacteriophage protein	-0.205	5.476	0.364	0.803
SL1344_0969	SL1344_0969	Large Subunit of Terminase	0.110	7.916	0.388	0.820
SL1344_0971	SL1344_0971	predicted bacteriophage protein	-0.058	6.774	0.721	0.975
SL1344_0972	SL1344_0972	ATP Dependent clp Protease	-0.117	7.122	0.379	0.813
SL1344_0973	SL1344_0973	predicted bacteriophage protein	-0.096	5.435	0.696	0.970
SL1344_0974	SL1344_0974	predicted bacteriophage protein	0.133	6.146	0.564	0.925
SL1344_0975	SL1344_0975	predicted bacteriophage protein	-0.120	5.839	0.571	0.928
SL1344_0976	SL1344_0976	predicted bacteriophage protein	-0.143	6.720	0.355	0.800
SL1344_0977	SL1344_0977	Tail Protein	0.242	3.945	0.593	0.937
SL1344_0978	SL1344_0978	predicted bacteriophage protein	-0.006	6.194	1.000	1.000
SL1344_0979	SL1344_0979	predicted bacteriophage protein	-0.097	6.467	0.563	0.924
SL1344_0980	SL1344_0980	Tape Measure	-0.096	8.098	0.453	0.858
SL1344_0981	SL1344_0981	Minor Tail Component	-0.067	5.632	0.727	0.975
SL1344_0982	SL1344_0982	predicted bacteriophage protein	0.069	7.062	0.706	0.972
SL1344_0983	sodCa	bacteriophage encoded superoxide dismutase [cu-zn] 1 precursor (ec 1.15.1.1) (sodCI)	0.233	5.443	0.315	0.771
SL1344_0984	SL1344_0984	bacteriophage minor tail protein	0.022	6.813	0.951	1.000
SL1344_0985	SL1344_0985	hypothetical bacteriophage minor tail protein	-0.032	6.772	0.882	1.000
SL1344_0986	SL1344_0986	Tail Assembly Protein	0.275	5.517	0.191	0.642
SL1344_0987	SL1344_0987	hypothetical Host Specificity Protein	-0.043	7.883	0.735	0.976
SL1344_0988	SL1344_0988	hypothetical Tail Fiber Protein	-0.031	7.929	0.822	1.000
SL1344_0989	SL1344_0989	bacteriophage tail fibre assembly protein	-0.131	7.162	0.334	0.788
SL1344_0990	SL1344_0990	pseudogene	0.063	6.819	0.673	0.963
SL1344_0991	sseI	Type III secretion system effector protein, contributes to host-cell dissemination	-0.160	8.600	0.197	0.648
SL1344_0992	SL1344_0992	pseudogene	0.361	4.305	0.321	0.777
SL1344_0993	SL1344_0993	predicted bacteriophage protein	-0.063	7.816	0.689	0.968
SL1344_0994	SL1344_0994	predicted bacteriophage protein (pseudogene)	0.070	6.043	0.759	0.985
SL1344_0995	gtgE	bacteriophage encoded virulence factor	-0.138	8.756	0.245	0.695
SL1344_0996	gtgF	bacteriophage encoded virulence protein	-0.086	6.300	0.603	0.944
SL1344_0997	pepN	aminopeptidase N	-0.167	7.921	0.201	0.653
SL1344_0998	pyrD	dihydroorotate dehydrogenase	-1.899	8.385	0.000	0.000
SL1344_0999	ycbW	conserved hypothetical protein	-0.106	6.067	0.654	0.960
SL1344_1000	SL1344_1000	conserved hypothetical protein	-0.301	7.063	0.037	0.274
SL1344_1001	rlmL	conserved hypothetical protein	0.126	7.831	0.324	0.778
SL1344_1002	uup	ABC transporter ATP-binding protein	0.206	6.209	0.321	0.777
SL1344_1003	pqiA	hypothetical inner membrane protein	0.218	6.460	0.206	0.660
SL1344_1004	pqiB	hypothetical secreted protein	0.200	6.324	0.216	0.673
SL1344_1005	ymbA	hypothetical lipoprotein	-0.152	4.218	0.673	0.963
SL1344_1006	rmf	ribosome modulation factor (protein E)	-0.280	3.400	0.630	0.954
SL1344_1008	lonH	conserved hypothetical protein	0.214	5.544	0.348	0.796
SL1344_1009	ycbG	conserved hypothetical protein	-0.158	4.827	0.616	0.947
SL1344_1010	ompA	outer membrane protein A	-0.040	4.219	0.931	1.000
SL1344_1011	sulA	cell division inhibitor	-0.149	5.976	0.410	0.835
SL1344_1012	sxy	required for gene induction	0.154	5.887	0.440	0.849
SL1344_1013	yccS	hypothetical membrane protein	-0.113	7.138	0.428	0.841
SL1344_1014	yccF	hypothetical membrane protein	0.286	5.090	0.305	0.756
SL1344_1015	helD	helicase IV (75 kD helicase)	-0.091	7.096	0.540	0.905
SL1344_1016	mgsA	methylglyoxal synthase	0.059	3.306	1.000	1.000
SL1344_1017	yccT	hypothetical secreted protein	0.411	4.939	0.146	0.567
SL1344_1018	SL1344_1018	conserved hypothetical protein	0.046	5.846	0.889	1.000
SL1344_1019	yccV	conserved hypothetical protein	-1.069	5.317	0.000	0.000
SL1344_1020	yccW	conserved hypothetical protein	-0.095	3.675	0.850	1.000
SL1344_1021	SL1344_1021	hypothetical exported protein	-0.308	4.414	0.333	0.788
SL1344_1022	SL1344_1022	hypothetical transcriptional regulator	-0.352	5.555	0.125	0.541
SL1344_1023	yccX	hypothetical acylphosphatase	-0.265	5.560	0.196	0.647
SL1344_1025	yccA	hypothetical membrane protein	-0.229	6.247	0.264	0.708
SL1344_1026	pipA	conserved hypothetical protein	-0.059	8.482	0.628	0.953
SL1344_1027	pipB	Type III secretion system effector protein, homologous to pipB2, required for colonisation in chicks and for inducing the inflammatory response in the bovine ligated ileal loop model of infection	-0.098	7.201	0.460	0.861
SL1344_1028	SL1344_1028	conserved hypothetical inner membrane protein	0.103	4.679	0.776	0.990
SL1344_1029	pipC	cell invasion protein	-0.153	7.627	0.249	0.699
SL1344_1030	sopB	Type III secretion system effector protein. Activates Cdc42, RhoG, AktA and chloride secretion through its inositol phosphatase activity and disrupts tight junctions	-0.104	9.547	0.386	0.819
SL1344_1031	orfX	conserved hypothetical protein	0.299	6.241	0.069	0.392
SL1344_1032	SL1344_1032	hypothetical protein	0.154	6.312	0.350	0.796
SL1344_1033	pipD	hypothetical secreted peptidase	-0.034	9.665	0.772	0.988
SL1344_1034	copS	histidine kinase	-0.204	8.598	0.100	0.486
SL1344_1035	copR	response regulator	0.031	6.537	0.896	1.000
SL1344_1036	SL1344_1036	hypothetical exported protein	-0.110	6.097	0.570	0.927
SL1344_1037	hpaC	4-hydroxyphenylacetate 3-monooxygenase coupling protein	0.035	4.573	0.944	1.000
SL1344_1038	hpaB	4-hydroxyphenylacetate 3-monooxygenase	-0.266	6.115	0.122	0.535
SL1344_1039	hpaR	homoprotocatechuate degradative operon repressor	0.545	4.540	0.099	0.483
SL1344_1040	hpaG	4-hydroxyphenylacetate degradation bifunctional isomerase decarboxylase	-0.080	6.038	0.704	0.972
SL1344_1041	hpaE	5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase (ec 1.2.1.-) (chms dehydrogenase)	-0.109	6.001	0.540	0.904
SL1344_1042	hpaD	3,4-dihydroxyphenylacetate 2,3-dioxygenase	0.027	7.150	0.861	1.000
SL1344_1043	hpaF	5-carboxymethyl-2-hydroxymuconate delta-isomerase	0.174	5.132	0.528	0.902
SL1344_1044	hpaH	2-oxo-hepta-3-ene-1,7-dioic acid hydratase	0.099	5.559	0.639	0.956
SL1344_1045	hpaI	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	0.141	3.815	0.841	1.000
SL1344_1046	hpaX	hypothetical 4-hydroxyphenylacetate permease	0.215	5.773	0.263	0.708
SL1344_1047	hpaA	4-hydroxyphenylacetate 3-monooxygenase operon regulatory protein	-0.316	7.110	0.041	0.288
SL1344_1048	SL1344_1048	hypothetical protein	-0.114	5.826	0.535	0.902
SL1344_1049	SL1344_1049	conserved hypothetical protein	-0.025	7.995	0.851	1.000
SL1344_1050	yccD	conserved hypothetical protein	0.289	5.554	0.162	0.594
SL1344_1051	cbpA	curved DNA-binding protein	-0.178	6.325	0.293	0.748
SL1344_1052	scsA	membrane protein, suppressor for copper-sensitivity A	-0.370	2.178	0.670	0.963
SL1344_1053	scsB	membrane protein, suppressor for copper-sensitivity B precursor	0.030	5.885	0.867	1.000
SL1344_1054	scsC	secreted protein, suppressor for copper-sensitivity C precursor	0.091	5.157	0.711	0.973
SL1344_1055	scsD	secreted protein, suppressor for copper-sensitivity D	-0.134	3.994	0.773	0.988
SL1344_1056	agp	glucose-1-phosphatase precursor (G1Pase), secreted	0.003	6.034	1.000	1.000
SL1344_1058	wrbA	trp repressor binding protein	0.073	6.112	0.663	0.963
SL1344_1059	ymdF	conserved hypothetical protein	-0.578	2.008	0.493	0.881
SL1344_1060	ycdC	hypothetical transcriptional regulator	-0.389	4.710	0.175	0.619
SL1344_1061	SL1344_1061	hypothetical secreted protein	-0.037	6.138	0.865	1.000
SL1344_1062	putA	proline dehydrogenase (proline oxidase)	-0.205	8.349	0.088	0.444
SL1344_1063	putP	sodium/proline symporter (proline permease)	0.138	6.317	0.453	0.858
SL1344_1064	phoH	PhoH protein (phosphate starvation-inducible protein PsiH)	0.386	5.173	0.104	0.493
SL1344_1065	SL1344_1065	hypothetical transcriptional regulator	-0.127	6.354	0.465	0.861
SL1344_1066	SL1344_1066	hypothetical sodium/glucose cotransporter	0.013	9.020	0.932	1.000
SL1344_1067	SL1344_1067	conserved hypothetical protein	-0.092	9.267	0.424	0.841
SL1344_1068	SL1344_1068	conserved hypothetical protein	-0.138	7.887	0.279	0.726
SL1344_1069	SL1344_1069	hypothetical secreted protein	-0.289	5.095	0.274	0.720
SL1344_1070	SL1344_1070	hypothetical transporter	0.039	9.667	0.737	0.976
SL1344_1071	SL1344_1071	hypothetical oxidoreductase	0.172	7.166	0.221	0.676
SL1344_1072	ycdW	hypothetical 2-hydroxyacid dehydrogenase in phoh-csgg intergenic region	0.197	5.738	0.397	0.826
SL1344_1073	ycdX	conserved hypothetical protein	0.246	5.848	0.204	0.656
SL1344_1074	ycdY	conserved hypothetical protein	0.145	5.217	0.586	0.936
SL1344_1075	ycdZ	hypothetical membrane protein	0.126	4.945	0.650	0.960
SL1344_1076	csgG	assembly/transport component in curli production	-0.070	7.533	0.582	0.932
SL1344_1077	csgF	assembly/transport component in curli production	-0.155	6.639	0.306	0.756
SL1344_1078	csgE	assembly/transport component in curli production	-0.099	7.428	0.472	0.866
SL1344_1079	csgD	csg operon transcriptional regulator protein	-0.093	6.799	0.579	0.932
SL1344_1080	csgB	nucleation component of curlin monomers	0.010	6.626	0.948	1.000
SL1344_1081	csgA	major curlin subunit precursor	-0.184	8.199	0.132	0.546
SL1344_1082	csgC	curli prooduction protein	0.056	7.893	0.658	0.961
SL1344_1083	ymdA	conserved hypothetical protein	-0.130	5.340	0.581	0.932
SL1344_1084	SL1344_1084	Hypothetical UPF0189 protein <ORFName>.	0.756	5.032	0.004	0.045
SL1344_1085	ymdC	conserved hypothetical protein	-0.121	6.746	0.388	0.820
SL1344_1086	mdoC	Glucans biosynthesis protein C	0.033	8.694	0.806	0.998
SL1344_1087	mdoG	Glucans biosynthesis protein G precursor.	0.071	6.099	0.715	0.975
SL1344_1088	mdoH	Glucans biosynthesis glucosyltransferase H	0.263	6.573	0.120	0.530
SL1344_1089	yceK	hypothetical lipoprotein	0.037	4.643	0.943	1.000
SL1344_1090	msyB	acidic protein MsyB; multicopy suppressor of SecY	0.565	2.946	0.425	0.841
SL1344_1091	yceE	hypothetical membrane transport protein	-0.147	4.447	0.642	0.956
SL1344_1093	yceA	conserved hypothetical protein	-0.117	5.459	0.638	0.956
SL1344_1094	yceI	Hypothetical UPF0312 protein <ORFName> precursor.	0.034	6.069	0.908	1.000
SL1344_1095	yceJ	cytochrome b561 homolog 2	0.003	8.346	0.988	1.000
SL1344_1097	solA	N-methyl-L-tryptophan oxidase	0.016	8.669	0.899	1.000
SL1344_1098	bssS	conserved hypothetical protein	-0.397	6.194	0.032	0.251
SL1344_1099	dinI	damage-inducible protein	-0.474	5.843	0.015	0.140
SL1344_1100	pyrC	Dihydroorotase	-1.402	6.503	0.000	0.000
SL1344_1101	yceB	conserved hypothetical protein	0.231	5.355	0.355	0.800
SL1344_1102	grxB	glutaredoxin 2	0.168	4.931	0.565	0.925
SL1344_1103	yceL	hypothetical membrane transporter	-0.062	6.875	0.653	0.960
SL1344_1104	rimJ	ribosomal-protein-alanine acetyltransferase	0.017	5.230	0.957	1.000
SL1344_1105	yceH	conserved hypothetical protein	0.086	5.759	0.756	0.984
SL1344_1106	mviM	hypothetical virulence factor MviM	-0.414	5.831	0.029	0.230
SL1344_1108	flgN	flagella synthesis protein FlgN	0.504	3.652	0.286	0.738
SL1344_1109	flgM	negative regulator of flagellin synthesis (anti-sigma factor)	0.177	1.329	1.000	1.000
SL1344_1110	flgA	flagellar basal body P-ring protein FlgA precursor	-0.169	5.483	0.554	0.916
SL1344_1111	flgB	hypothetical flagellar basal-body rod protein FlgB (proximal rod protein)	-0.453	5.131	0.080	0.427
SL1344_1112	flgC	hypothetical flagellar basal-body rod protein FlgC (proximal rod protein)	0.059	6.196	0.853	1.000
SL1344_1113	flgD	flagellar hook formation protein FlgD	0.207	6.759	0.280	0.729
SL1344_1114	flgE	flagellar hook protein FlgE	0.047	7.217	0.784	0.990
SL1344_1115	flgF	hypothetical flagellar basal-body rod protein FlgF (proximal rod protein)	-0.098	6.399	0.620	0.949
SL1344_1116	flgG	flagellar basal-body rod protein FlgG (distal rod protein)	0.036	6.370	0.855	1.000
SL1344_1117	flgH	Flagellar L-ring protein precursor	0.720	2.282	0.438	0.849
SL1344_1118	flgI	Flagellar P-ring protein precursor	-0.059	7.629	0.705	0.972
SL1344_1119	flgJ	flagellar protein FlgJ	0.262	7.274	0.133	0.546
SL1344_1120	flgK	flagellar hook-associated protein 1	-0.078	5.893	0.707	0.972
SL1344_1121	flgL	flagellar hook-associated protein 3	0.140	4.464	0.735	0.976
SL1344_1122	rne	ribonuclease E	-1.158	5.027	0.000	0.006
SL1344_1123	rluC	ribosomal large subunit pseudouridine synthase C (EC 4.2.1.70)	-0.456	5.881	0.019	0.170
SL1344_1124	SL1344_1124	hypothetical inner membrane lipoprotein	0.111	7.749	0.447	0.855
SL1344_1125	SL1344_1125	conserved hypothetical protein	0.023	5.074	1.000	1.000
SL1344_1126	mafa	conserved hypothetical protein	-0.102	7.456	0.442	0.852
SL1344_1127	yceD	conserved hypothetical protein	-0.806	3.558	0.086	0.440
SL1344_1128	rpl32	50S ribosomal protein L32. Chloroplast 50S ribosomal protein L32.	0.122	3.593	0.823	1.000
SL1344_1129	plsX	Fatty acid/phospholipid synthesis protein plsX.	0.210	5.498	0.425	0.841
SL1344_1134	fabF	3-oxoacyl-[acyl-carrier-protein] synthase II	-0.349	3.651	0.462	0.861
SL1344_1135	pabC	4-amino-4-deoxychorismate lyase	0.094	4.901	0.802	0.996
SL1344_1136	yceG	hypothetical secreted protein	0.116	5.803	0.627	0.952
SL1344_1139	ycfH	conserved hypothetical protein	-0.208	6.250	0.225	0.677
SL1344_1140	ptsG	PTS system, glucose-specific IIBC component	0.484	6.052	0.009	0.096
SL1344_1141	fhuE	outer-membrane receptor for Fe(iii)-coprogen, fe(iii)-ferrioxamine b and fe(iii)-rhodotrulic acid	-0.201	6.954	0.138	0.556
SL1344_1144	ycfM	hypothetical lipoprotein	0.835	4.901	0.002	0.033
SL1344_1145	thiK	conserved hypothetical protein	0.176	5.717	0.444	0.853
SL1344_1146	nagZ	Beta-hexosaminidase	0.326	5.095	0.197	0.648
SL1344_1147	ycfP	conserved hypothetical protein	-1.224	1.748	0.318	0.775
SL1344_1148	ndh	NADH dehydrogenase	-0.352	4.691	0.251	0.700
SL1344_1149	ycfJ	hypothetical secreted protein	-0.396	2.816	0.637	0.956
SL1344_1150	ycfQ	hypothetical TetR-family regulatory protein	-0.037	5.992	0.903	1.000
SL1344_1152	ycfS	hypothetical exported protein	-0.024	6.250	0.905	1.000
SL1344_1153	mfd	transcription-repair coupling factor (TrcF)	-0.610	6.484	0.000	0.002
SL1344_1157	ycfX	hypothetical ROK-family protein	-0.031	5.799	0.899	1.000
SL1344_1158	cobB	NAD-dependent deacetylase	-0.645	3.260	0.243	0.694
SL1344_1159	potD	spermidine/putrescine-binding periplasmic protein precursor	-0.211	6.058	0.313	0.767
SL1344_1160	potC	spermidine/putrescine transport system permease protein PotC	-0.583	3.936	0.172	0.615
SL1344_1161	sifA	Type III secretion system effector protein-necessary for Sif formation and maintaining the SCV. Has GAP activity	-0.741	6.731	0.000	0.000
